"","airport1","airport2","airline","cnt"
"677","TUS","ORD","UA",18.5714285714286
"678","EWR","MTJ","UA",18.5
"679","MTJ","EWR","UA",18.5
"680","EWR","STT","UA",18.4545454545455
"681","STT","EWR","UA",18.4545454545455
"682","ORD","STL","UA",18.4
"683","IAH","OMA","UA",18.3636363636364
"684","OMA","IAH","UA",18.3636363636364
"685","EWR","BUF","UA",18.125
"686","RIC","DEN","UA",18.1111111111111
"687","DTW","IAH","UA",18
"688","BNA","DEN","UA",17.9090909090909
"689","ORD","CVG","UA",17.9090909090909
"690","CVG","ORD","UA",17.8181818181818
